species,site,time,fit,sd,lwr,upr,q1,q2,parameter
Amblema plicata,Lower Neches,1,0.721184383055525,0.0523628607949442,0.611648409979619,0.804453494803577,0.680262500926751,0.756750435673632,p
Amblema plicata,Lower Neches,2,0.798895731458837,0.041068977300186,0.710063282009267,0.868137538819356,0.772271754258413,0.825305582926719,p
Amblema plicata,Lower Neches,3,0.802042496099018,0.0506178415535005,0.696288347381436,0.886389842165726,0.766746789221058,0.832085791871532,p
Amblema plicata,Rockland,1,0.709647087309387,0.0454608596749972,0.617963672612418,0.793357667607895,0.678282225232314,0.742499616295182,p
Amblema plicata,Rockland,2,0.780587641602987,0.0378956851158969,0.703410644590158,0.849653059398093,0.754603204619621,0.806075958116703,p
Amblema plicata,Rockland,3,0.784010267747447,0.0600185649405656,0.651430565473768,0.890982167922332,0.739282551347915,0.823608679205903,p
Arcidens confragosus,Lower Neches,1,0.800273110953147,0.0679751325897271,0.650354238856079,0.899277702234577,0.752244233261946,0.836463418632394,p
Arcidens confragosus,Lower Neches,2,0.798238226708813,0.0604463173680519,0.663275961880587,0.89086054154786,0.759067795049123,0.837710382534872,p
Arcidens confragosus,Lower Neches,3,0.819526736130016,0.0550246804219891,0.68834856164245,0.903243080670227,0.781302640564687,0.854765790957008,p
Arcidens confragosus,Rockland,1,0.81061766181876,0.0563560314056288,0.698092914505891,0.899675613320628,0.773833255901969,0.844893437429818,p
Arcidens confragosus,Rockland,2,0.815550396373981,0.0588843884406562,0.677842855241887,0.90514050575578,0.773443870288913,0.849319336601751,p
Arcidens confragosus,Rockland,3,0.817209793647109,0.0563205451469103,0.6675196372296,0.900029882000987,0.777576233398702,0.84982448676906,p
Cyclonaias nodulata,Lower Neches,1,0.814331782950951,0.0576725467888485,0.670355237429461,0.908446854289099,0.77273389622211,0.847906268728578,p
Cyclonaias nodulata,Lower Neches,2,0.808462925094499,0.0590886269044787,0.676276934206393,0.893170305748185,0.768377644307283,0.842340392640185,p
Cyclonaias nodulata,Lower Neches,3,0.81183164328058,0.0582777885799094,0.678108691152801,0.9019874956297,0.773994052035459,0.851348886372284,p
Cyclonaias nodulata,Rockland,1,0.814482762981992,0.0601988919216362,0.664324248263008,0.905324291441736,0.780124608021444,0.847077653735484,p
Cyclonaias nodulata,Rockland,2,0.819731495510418,0.0573836999149455,0.677667145822734,0.903974642208617,0.774858336096687,0.850751695686691,p
Cyclonaias nodulata,Rockland,3,0.814386141324243,0.0602735630602622,0.668534171216958,0.908945340909296,0.77527505968042,0.848874571075667,p
Cyclonaias pustulosa,Lower Neches,1,0.800411382100407,0.0594843431909408,0.651021630630962,0.882321448388937,0.758604478446976,0.830134367674903,p
Cyclonaias pustulosa,Lower Neches,2,0.833411277886148,0.0471020821266801,0.725814423489271,0.910835588133079,0.801920855290068,0.862873320166651,p
Cyclonaias pustulosa,Lower Neches,3,0.80384142101862,0.0543762115486705,0.689792967196886,0.897885108829097,0.766730438314362,0.83718830037972,p
Cyclonaias pustulosa,Rockland,1,0.811853956587677,0.0395641424561896,0.725884573381906,0.875524727561737,0.783701375874525,0.834188125369903,p
Cyclonaias pustulosa,Rockland,2,0.829973242018587,0.028078486903585,0.766900391173637,0.876510728551017,0.809280467928349,0.847714400822846,p
Cyclonaias pustulosa,Rockland,3,0.817440057147116,0.0364321403862383,0.74443104218215,0.891405138771984,0.795740126133178,0.841517729901977,p
Fusconaia chunii (Fusconaia askewi),Lower Neches,1,0.817939401029332,0.0546399776721832,0.692557938645799,0.907463561128057,0.780471170187104,0.847136066820294,p
Fusconaia chunii (Fusconaia askewi),Lower Neches,2,0.810870844131981,0.0590639631602708,0.671548910296174,0.898339961295022,0.772739712852223,0.84626750467867,p
Fusconaia chunii (Fusconaia askewi),Lower Neches,3,0.817820196172229,0.0603895962571368,0.67095950745426,0.90721952019834,0.77631134126942,0.851148553262067,p
Fusconaia chunii (Fusconaia askewi),Rockland,1,0.814755999308444,0.0581813345125757,0.67503612170793,0.908976339987283,0.773648037177767,0.849325163904991,p
Fusconaia chunii (Fusconaia askewi),Rockland,2,0.845996179590497,0.0451010863655008,0.750444231856756,0.927503920174417,0.81715199321556,0.874502750294878,p
Fusconaia chunii (Fusconaia askewi),Rockland,3,0.812211282258713,0.0518400193926272,0.70269571683662,0.896527111468908,0.775581473909929,0.848116706186266,p
Glebula rotundata,Lower Neches,1,0.812922966041237,0.0559880877170062,0.679300755325785,0.905566311028601,0.774832056591074,0.845677515221152,p
Glebula rotundata,Lower Neches,2,0.855599581182177,0.0306634144051753,0.788730114416555,0.905071249601882,0.833320523023294,0.876641854481153,p
Glebula rotundata,Lower Neches,3,0.82856778238002,0.0390768348378111,0.751693623506899,0.907253462303856,0.803242866413804,0.85387764035863,p
Glebula rotundata,Rockland,1,0.814436497736047,0.061972856851596,0.671743016182913,0.909841969119672,0.772477017349435,0.852469958539099,p
Glebula rotundata,Rockland,2,0.812388950304878,0.0619388085756316,0.660420354222113,0.904398772980162,0.771939815300515,0.847744933239684,p
Glebula rotundata,Rockland,3,0.814010180860215,0.0589876478264371,0.67860856451665,0.907104920705982,0.773949968344972,0.849393584381604,p
Lampsilis hydiana,Lower Neches,1,0.811543071117746,0.0565986148444073,0.684766858242789,0.902998525201634,0.775732719720096,0.846090194381699,p
Lampsilis hydiana,Lower Neches,2,0.788473230594063,0.057508780723594,0.660022292514692,0.884242405140145,0.750727031512439,0.826454603565437,p
Lampsilis hydiana,Lower Neches,3,0.809428112182394,0.0524972102487431,0.701755481558021,0.896456131120588,0.775569854562411,0.84294958873385,p
Lampsilis hydiana,Rockland,1,0.814525766630732,0.0599574343474486,0.671830328400105,0.910404449075412,0.771574973558391,0.850493396865198,p
Lampsilis hydiana,Rockland,2,0.808281981028404,0.0536881510705188,0.694493854241869,0.898336405627673,0.773330810482523,0.840911474828368,p
Lampsilis hydiana,Rockland,3,0.804690515948753,0.057895310467306,0.669337176793994,0.897508254543616,0.766088026849583,0.835699324639686,p
Lampsilis satura,Lower Neches,1,0.814336474719531,0.0594234169889518,0.668163548586097,0.904593657944733,0.773811062883235,0.846461889349419,p
Lampsilis satura,Lower Neches,2,0.816714176292901,0.0569952564963888,0.677951351750292,0.901718143521885,0.780798420048641,0.851896883651531,p
Lampsilis satura,Lower Neches,3,0.81803852362191,0.0527371688102643,0.705962399469681,0.90578655575353,0.783641341732309,0.851673416507036,p
Lampsilis satura,Rockland,1,0.813723181099968,0.0600291783163195,0.66224312096845,0.905786112463723,0.774663053240638,0.849342487750208,p
Lampsilis satura,Rockland,2,0.810704918446988,0.0602768418132516,0.66838501694339,0.898382306984249,0.770405477054577,0.845708071835346,p
Lampsilis satura,Rockland,3,0.815151854467307,0.0570810833112444,0.676987153572576,0.904333323508761,0.776290481680373,0.849029077845561,p
Lampsilis teres,Lower Neches,1,0.810044161032776,0.0596663805918875,0.663417843422212,0.901780287113922,0.771611953686159,0.84702814073956,p
Lampsilis teres,Lower Neches,2,0.832366710740664,0.0398942784454637,0.741002801515901,0.894101973356398,0.80366188532303,0.856830773536195,p
Lampsilis teres,Lower Neches,3,0.859675657500093,0.0392583925414015,0.773342234884865,0.924106434489234,0.829143243059131,0.883760321422002,p
Lampsilis teres,Rockland,1,0.813679365849395,0.0593512453992769,0.681778227060297,0.897350462791243,0.77472642499166,0.846616218381117,p
Lampsilis teres,Rockland,2,0.843325475322384,0.0386438483804374,0.762020926904419,0.90925375245255,0.813769088486312,0.866433549800906,p
Lampsilis teres,Rockland,3,0.800423231311033,0.0530476621012547,0.678505727965167,0.878082587045776,0.761173220701124,0.834156638277285,p
Megalonaias nervosa,Lower Neches,1,0.815777183755677,0.0583700994219329,0.673400519931805,0.903929115184444,0.774467504841772,0.849548320538056,p
Megalonaias nervosa,Lower Neches,2,0.838875081435608,0.0462314793866533,0.739733118659064,0.916316531903078,0.812818087553054,0.870577812125208,p
Megalonaias nervosa,Lower Neches,3,0.819101378031257,0.0494606000455582,0.703882828439669,0.902139847405707,0.785194087150512,0.84863002417326,p
Megalonaias nervosa,Rockland,1,0.813118951433804,0.0562528150147964,0.679641218381415,0.905417157489562,0.772824355880921,0.844528814026274,p
Megalonaias nervosa,Rockland,2,0.829171676650446,0.0413936696633498,0.740631592391104,0.897641797245448,0.797916411031994,0.855194510874213,p
Megalonaias nervosa,Rockland,3,0.834914104627525,0.0437892873998932,0.741009840176336,0.913743877200516,0.801053550574928,0.864198212882733,p
Obliquaria reflexa,Lower Neches,1,0.811395533205358,0.0561430380030925,0.697084010265938,0.914451285173557,0.771274598899881,0.850912333833318,p
Obliquaria reflexa,Lower Neches,2,0.800987331700253,0.0383509258237705,0.714281059456467,0.863669127337164,0.773576259697479,0.827687830936518,p
Obliquaria reflexa,Lower Neches,3,0.826185930286089,0.0377918609098804,0.745190429316529,0.899615894240963,0.801110790147385,0.85103388068992,p
Obliquaria reflexa,Rockland,1,0.817053701477582,0.0597487566109603,0.666743426302898,0.903438234915721,0.780662053173543,0.853843482463052,p
Obliquaria reflexa,Rockland,2,0.818418404883872,0.0442392881232158,0.719154234478493,0.892779795547369,0.789001209916293,0.845364874548307,p
Obliquaria reflexa,Rockland,3,0.796509787332212,0.0485568130904351,0.693859547264236,0.886781830139909,0.761934936181738,0.828052375721864,p
Plectomerus dombeyanus,Lower Neches,1,0.813600518855153,0.0617862187535358,0.662974153768494,0.902910864297902,0.76978516866634,0.847851132221415,p
Plectomerus dombeyanus,Lower Neches,2,0.830359537297649,0.0379927304981537,0.751221642134997,0.898509022502841,0.806861913164363,0.857465543593082,p
Plectomerus dombeyanus,Lower Neches,3,0.817147594627758,0.0433944094387377,0.725520725727949,0.899557044847786,0.788847319606748,0.841716154477871,p
Plectomerus dombeyanus,Rockland,1,0.818828607203683,0.0553477690415646,0.691013582467878,0.910607348521362,0.781171331624705,0.852166361243844,p
Plectomerus dombeyanus,Rockland,2,0.842438020079675,0.0376598373922471,0.756779567521952,0.904414523451846,0.814514700888835,0.864371003732603,p
Plectomerus dombeyanus,Rockland,3,0.781145299106766,0.054432145314559,0.682898638291728,0.888737087328545,0.746654853164803,0.824265026199351,p
Pleurobema riddellii,Lower Neches,1,0.813392823458923,0.0570015427956645,0.675687698736732,0.898790874957546,0.771414244492151,0.8482084615793,p
Pleurobema riddellii,Lower Neches,2,0.814434496178938,0.0601323749610779,0.675821412678972,0.901072301011078,0.772180982098196,0.851357660032854,p
Pleurobema riddellii,Lower Neches,3,0.813018133855395,0.0598693051747936,0.671620722791656,0.911803242954481,0.771740255749038,0.846838347758051,p
Pleurobema riddellii,Rockland,1,0.81384813121685,0.0579489939749222,0.671208657058227,0.900642484798175,0.773219214873143,0.850832587497609,p
Pleurobema riddellii,Rockland,2,0.816634308547376,0.0622629181531238,0.663929275838222,0.910018587923939,0.774955692618314,0.850009785658565,p
Pleurobema riddellii,Rockland,3,0.814772248530817,0.0439533084646923,0.722800346612261,0.891965762408561,0.783317821757705,0.841825326651531,p
Potamilus amphichaenus,Lower Neches,1,0.812209291781391,0.0591719515488237,0.655884178858175,0.904268880340349,0.772295653678295,0.847776213574463,p
Potamilus amphichaenus,Lower Neches,2,0.815545573523499,0.0575198864733723,0.672441137275263,0.902443376921094,0.77670123790939,0.851134806280863,p
Potamilus amphichaenus,Lower Neches,3,0.805690390448989,0.0538205240273132,0.683813376547632,0.894554639322553,0.772672563787038,0.839310322427523,p
Potamilus amphichaenus,Rockland,1,0.816432130286994,0.0587784032788716,0.678789601004522,0.905418383375412,0.77643233600621,0.845766069491206,p
Potamilus amphichaenus,Rockland,2,0.815074657131016,0.0616287483005755,0.670791211442932,0.911361998439022,0.772345343722624,0.848509536963092,p
Potamilus amphichaenus,Rockland,3,0.811165553108623,0.0573825405687129,0.670737910109228,0.897896219904868,0.768370693050172,0.846427328863488,p
Potamilus fragilis (Leptodea fragilis),Lower Neches,1,0.812799448498299,0.0600548237417052,0.671774754367415,0.90158138940079,0.76981957204722,0.85024881620113,p
Potamilus fragilis (Leptodea fragilis),Lower Neches,2,0.813122536285762,0.0618343532598996,0.665449844947694,0.907514324050124,0.772670227062168,0.849877872750926,p
Potamilus fragilis (Leptodea fragilis),Lower Neches,3,0.817754299676315,0.0617708036599003,0.669329571098751,0.907280636044671,0.779167421984285,0.854006813368509,p
Potamilus fragilis (Leptodea fragilis),Rockland,1,0.81294353778696,0.0592729384374965,0.675460874299282,0.905882642588535,0.775789945356294,0.848993171700684,p
Potamilus fragilis (Leptodea fragilis),Rockland,2,0.813213734126839,0.0557076790877747,0.691818371323907,0.902706220344761,0.775207008650176,0.845197628907831,p
Potamilus fragilis (Leptodea fragilis),Rockland,3,0.806166710971822,0.0556622051551334,0.680846759054869,0.893743079743495,0.772637948593041,0.844803737100567,p
Potamilus purpuratus,Lower Neches,1,0.816949486153351,0.0555781342307216,0.697697676687594,0.905958743042581,0.779966873018564,0.852042258089015,p
Potamilus purpuratus,Lower Neches,2,0.817651137563062,0.055122676011479,0.703422881873185,0.90751989798483,0.779023490353236,0.852577066002754,p
Potamilus purpuratus,Lower Neches,3,0.809484746809783,0.0550081958828349,0.685623179759957,0.905601567748421,0.771305542012501,0.845353530792826,p
Potamilus purpuratus,Rockland,1,0.819934357548146,0.0578457265144162,0.673243993109191,0.900539015450241,0.778711240915681,0.849957112495453,p
Potamilus purpuratus,Rockland,2,0.80874249734727,0.0405226214099933,0.72344031678779,0.872223431875119,0.780912307990328,0.832669963992769,p
Potamilus purpuratus,Rockland,3,0.812732295984684,0.0367767891617456,0.740159983664806,0.884828627053422,0.787443688339655,0.837926355631163,p
Pyganodon grandis,Lower Neches,1,0.817489542924715,0.0570088196989758,0.69115603584974,0.906029524548425,0.777446872988074,0.849849816258667,p
Pyganodon grandis,Lower Neches,2,0.829740337284602,0.0521380953704486,0.708413403998366,0.916821880485006,0.797198624026409,0.861908161953378,p
Pyganodon grandis,Lower Neches,3,0.818398402536836,0.0556584951315751,0.691605610977786,0.907833340991579,0.782643090801693,0.852622562882538,p
Pyganodon grandis,Rockland,1,0.813725219495189,0.0590162187103674,0.660943223146475,0.9011667691886,0.773211461043221,0.846838972459591,p
Pyganodon grandis,Rockland,2,0.814396557182179,0.0564714177340044,0.683688891978339,0.904502747045526,0.777573844524025,0.84514412432804,p
Pyganodon grandis,Rockland,3,0.808695664991299,0.0591565078319913,0.675729565228318,0.90848939746626,0.769821860072068,0.84109238790962,p
Quadrula quadrula (Quadrula apiculata),Lower Neches,1,0.813193151457563,0.0565865537984067,0.681927489279847,0.90620742851167,0.778293737669493,0.847563973457521,p
Quadrula quadrula (Quadrula apiculata),Lower Neches,2,0.880104685405486,0.0195792566435657,0.834568459966818,0.91566762309293,0.867200197586512,0.893311478549212,p
Quadrula quadrula (Quadrula apiculata),Lower Neches,3,0.776614938753647,0.0547190295626888,0.676318858045501,0.876707024027757,0.733132915080652,0.818751034134953,p
Quadrula quadrula (Quadrula apiculata),Rockland,1,0.815335756401129,0.0587780236523066,0.671356676709062,0.907442961390639,0.776166274657068,0.848493388368499,p
Quadrula quadrula (Quadrula apiculata),Rockland,2,0.813235568644732,0.0517938564860583,0.691130146765507,0.892913229842611,0.776663189152714,0.843201766959928,p
Quadrula quadrula (Quadrula apiculata),Rockland,3,0.817278367665952,0.052473502246938,0.69440239718242,0.897801942295506,0.778407252414855,0.84628488999294,p
Tritogonia nobilis (Quadrula nobilis),Lower Neches,1,0.815063742265655,0.053595634191992,0.687419822031324,0.899222344220132,0.785005636289854,0.847698592414883,p
Tritogonia nobilis (Quadrula nobilis),Lower Neches,2,0.855618799352971,0.035228757935777,0.780336126755781,0.916870726474583,0.829700424376746,0.876359588606871,p
Tritogonia nobilis (Quadrula nobilis),Lower Neches,3,0.772812755009355,0.0636687452519868,0.648212919991399,0.887552826617785,0.72497642538023,0.81621983313037,p
Tritogonia nobilis (Quadrula nobilis),Rockland,1,0.814225085306462,0.0618477450027988,0.659426282995222,0.906468043997148,0.775713203051319,0.850549202642435,p
Tritogonia nobilis (Quadrula nobilis),Rockland,2,0.824486548569511,0.0472462642389654,0.70842065731695,0.90049830976432,0.793117809209642,0.852853957164467,p
Tritogonia nobilis (Quadrula nobilis),Rockland,3,0.781483551929229,0.0654500725446841,0.622176489089616,0.879176979199205,0.736243398475634,0.819882984258413,p
Tritogonia verrucosa,Lower Neches,1,0.81237667256921,0.0582593139707109,0.683597020889608,0.90962951934178,0.774837367322347,0.849337738748834,p
Tritogonia verrucosa,Lower Neches,2,0.814454853414891,0.0578913177171094,0.685842572197803,0.90799702453169,0.775010449441733,0.848827651703639,p
Tritogonia verrucosa,Lower Neches,3,0.81738752578985,0.0571881056028843,0.673051416099544,0.914937252592791,0.777146162092138,0.846576596180965,p
Tritogonia verrucosa,Rockland,1,0.814240977074939,0.0585852372966247,0.682139726529357,0.907624815115274,0.775264216707738,0.848933166081326,p
Tritogonia verrucosa,Rockland,2,0.816328657556272,0.0578905434180278,0.683821873471944,0.908835920849694,0.777562055283011,0.851377117925351,p
Tritogonia verrucosa,Rockland,3,0.812099337069665,0.0608872016602422,0.661256895182695,0.905110605622907,0.770269901923886,0.849009022522057,p
Truncilla donaciformis,Lower Neches,1,0.812015479631429,0.0610017018080311,0.68161687772639,0.902289825353257,0.773158929507103,0.854436894389597,p
Truncilla donaciformis,Lower Neches,2,0.813037381843535,0.0602280668107119,0.674089190728233,0.909599159596603,0.771488283325325,0.848754872018012,p
Truncilla donaciformis,Lower Neches,3,0.816161683721409,0.0551839684929136,0.694741673430357,0.895094115193058,0.774393984272473,0.850650251889448,p
Truncilla donaciformis,Rockland,1,0.813775646835224,0.0569251628767481,0.670320899860631,0.903429451909636,0.775482132189646,0.84665852707685,p
Truncilla donaciformis,Rockland,2,0.812029227077823,0.0603088771748669,0.659818048142578,0.905999968915957,0.77228609172359,0.849236888081663,p
Truncilla donaciformis,Rockland,3,0.816663023695209,0.0538329881919967,0.686182794634793,0.896897186399693,0.777528402050318,0.849256573811061,p
