individual,species_2
D505,AMPL
H111,AMPL
C371,ARCO
D169,ARCO
D170,ARCO
D171,ARCO
D206,ARCO
D238,ARCO
D353,ARCO
D354,ARCO
D356,ARCO
D506,ARCO
D507,ARCO
D738,ARCO
D951,ARCO
D965,ARCO
J487,ARCO
J529,ARCO
C073,CYPU
C074,CYPU
C075,CYPU
C153,CYPU
C154,CYPU
C155,CYPU
C156,CYPU
C157,CYPU
C163,CYPU
C164,CYPU
C165,CYPU
C166,CYPU
C182,CYPU
C183,CYPU
C206,CYPU
C207,CYPU
C208,CYPU
C209,CYPU
C237,CYPU
C246,CYPU
C281,CYPU
C301,CYPU
C372,CYPU
C395,CYPU
C404,CYPU
C437,CYPU
C438,CYPU
C439,CYPU
C440,CYPU
C441,CYPU
C442,CYPU
C443,CYPU
C705,CYPU
C816,CYPU
C817,CYPU
C942,CYPU
C970,CYPU
C991,CYPU
C992,CYPU
C993,CYPU
C994,CYPU
C995,CYPU
C996,CYPU
D056,CYPU
D057,CYPU
D058,CYPU
D059,CYPU
D060,CYPU
D081,CYPU
D082,CYPU
D083,CYPU
D084,CYPU
D085,CYPU
D086,CYPU
D087,CYPU
D088,CYPU
D089,CYPU
D154,CYPU
D155,CYPU
D172,CYPU
D173,CYPU
D174,CYPU
D175,CYPU
D176,CYPU
D177,CYPU
D178,CYPU
D179,CYPU
D180,CYPU
D181,CYPU
D182,CYPU
D183,CYPU
D184,CYPU
D227,CYPU
D228,CYPU
D229,CYPU
D230,CYPU
D231,CYPU
D301,CYPU
D302,CYPU
D303,CYPU
D304,CYPU
D305,CYPU
D319,CYPU
D320,CYPU
D321,CYPU
D322,CYPU
D323,CYPU
D324,CYPU
D325,CYPU
D326,CYPU
D335,CYPU
D336,CYPU
D337,CYPU
D351,CYPU
D352,CYPU
D422,CYPU
D423,CYPU
D424,CYPU
D437,CYPU
D450,CYPU
D452,CYPU
D463,CYPU
D464,CYPU
D465,CYPU
D466,CYPU
D468,CYPU
D469,CYPU
D470,CYPU
D493,CYPU
D494,CYPU
D495,CYPU
D496,CYPU
D497,CYPU
D509,CYPU
D571,CYPU
D572,CYPU
D573,CYPU
D574,CYPU
D575,CYPU
D576,CYPU
D577,CYPU
D578,CYPU
D585,CYPU
D593,CYPU
D594,CYPU
D595,CYPU
D596,CYPU
D597,CYPU
D598,CYPU
D599,CYPU
D600,CYPU
D601,CYPU
D602,CYPU
D603,CYPU
D604,CYPU
D606,CYPU
D631,CYPU
D674,CYPU
D675,CYPU
D676,CYPU
D677,CYPU
D678,CYPU
D679,CYPU
D680,CYPU
D682,CYPU
D683,CYPU
D684,CYPU
D685,CYPU
D686,CYPU
D687,CYPU
D688,CYPU
D689,CYPU
D690,CYPU
D730,CYPU
D744,CYPU
D745,CYPU
D746,CYPU
D747,CYPU
D809,CYPU
D810,CYPU
D811,CYPU
D812,CYPU
D813,CYPU
D829,CYPU
D834,CYPU
D835,CYPU
D836,CYPU
D837,CYPU
D838,CYPU
D839,CYPU
D840,CYPU
D841,CYPU
D875,CYPU
D878,CYPU
D879,CYPU
D880,CYPU
D881,CYPU
D884,CYPU
D885,CYPU
D886,CYPU
D887,CYPU
D888,CYPU
D889,CYPU
D900,CYPU
D902,CYPU
D904,CYPU
D906,CYPU
D908,CYPU
D932,CYPU
D933,CYPU
D934,CYPU
D957,CYPU
D959,CYPU
D990,CYPU
D991,CYPU
D992,CYPU
H012,CYPU
H022,CYPU
H036,CYPU
H037,CYPU
H038,CYPU
H039,CYPU
H040,CYPU
H041,CYPU
H047,CYPU
H083,CYPU
H099,CYPU
H100,CYPU
H113,CYPU
J334,CYPU
J399,CYPU
J400,CYPU
J401,CYPU
J402,CYPU
J403,CYPU
J404,CYPU
J405,CYPU
J439,CYPU
J497,CYPU
J498,CYPU
J506,CYPU
J507,CYPU
J551,CYPU
J552,CYPU
J553,CYPU
J554,CYPU
J561,CYPU
J562,CYPU
J563,CYPU
J581,CYPU
J582,CYPU
J583,CYPU
J584,CYPU
J585,CYPU
J586,CYPU
C000,FUCH
C001,FUCH
C002,FUCH
C003,FUCH
C004,FUCH
C005,FUCH
C006,FUCH
C007,FUCH
C008,FUCH
C009,FUCH
C010,FUCH
C011,FUCH
C012,FUCH
C013,FUCH
C015,FUCH
C016,FUCH
C017,FUCH
C018,FUCH
C019,FUCH
C020,FUCH
C021,FUCH
C022,FUCH
C023,FUCH
C024,FUCH
C025,FUCH
C026,FUCH
C027,FUCH
C028,FUCH
C029,FUCH
C030,FUCH
C031,FUCH
C032,FUCH
C033,FUCH
C034,FUCH
C035,FUCH
C036,FUCH
C037,FUCH
C038,FUCH
C039,FUCH
C040,FUCH
C041,FUCH
C042,FUCH
C043,FUCH
C044,FUCH
C045,FUCH
C046,FUCH
C047,FUCH
C048,FUCH
C049,FUCH
C050,FUCH
C051,FUCH
C052,FUCH
C053,FUCH
C054,FUCH
C055,FUCH
C056,FUCH
C057,FUCH
C058,FUCH
C059,FUCH
C060,FUCH
C061,FUCH
C062,FUCH
C063,FUCH
C064,FUCH
C065,FUCH
C066,FUCH
C067,FUCH
C068,FUCH
C069,FUCH
C070,FUCH
C071,FUCH
C072,FUCH
C076,FUCH
C077,FUCH
C078,FUCH
C079,FUCH
C080,FUCH
C081,FUCH
C082,FUCH
C083,FUCH
C084,FUCH
C085,FUCH
C086,FUCH
C087,FUCH
C088,FUCH
C090,FUCH
C091,FUCH
C092,FUCH
C093,FUCH
C094,FUCH
C095,FUCH
C096,FUCH
C097,FUCH
C098,FUCH
C099,FUCH
C100,FUCH
C101,FUCH
C102,FUCH
C103,FUCH
C104,FUCH
C105,FUCH
C110,FUCH
C111,FUCH
C112,FUCH
C113,FUCH
C114,FUCH
C115,FUCH
C116,FUCH
C117,FUCH
C118,FUCH
C119,FUCH
C120,FUCH
C121,FUCH
C122,FUCH
C123,FUCH
C124,FUCH
C125,FUCH
C126,FUCH
C127,FUCH
C128,FUCH
C129,FUCH
C130,FUCH
C131,FUCH
C132,FUCH
C133,FUCH
C134,FUCH
C135,FUCH
C136,FUCH
C137,FUCH
C138,FUCH
C139,FUCH
C140,FUCH
C141,FUCH
C142,FUCH
C143,FUCH
C144,FUCH
C145,FUCH
C146,FUCH
C147,FUCH
C148,FUCH
C149,FUCH
C150,FUCH
C151,FUCH
C152,FUCH
C158,FUCH
C159,FUCH
C160,FUCH
C161,FUCH
C162,FUCH
C180,FUCH
C184,FUCH
C185,FUCH
C187,FUCH
C188,FUCH
C189,FUCH
C190,FUCH
C191,FUCH
C192,FUCH
C193,FUCH
C194,FUCH
C195,FUCH
C196,FUCH
C197,FUCH
C198,FUCH
C199,FUCH
C200,FUCH
C201,FUCH
C202,FUCH
C203,FUCH
C204,FUCH
C205,FUCH
C238,FUCH
C239,FUCH
C240,FUCH
C241,FUCH
C242,FUCH
C243,FUCH
C244,FUCH
C245,FUCH
C282,FUCH
C296,FUCH
C297,FUCH
C389,FUCH
C399,FUCH
C400,FUCH
C401,FUCH
C402,FUCH
C416,FUCH
C417,FUCH
C425,FUCH
C426,FUCH
C427,FUCH
C428,FUCH
C429,FUCH
C430,FUCH
C444,FUCH
C445,FUCH
C446,FUCH
C447,FUCH
C448,FUCH
C449,FUCH
C450,FUCH
C451,FUCH
C587,FUCH
C822,FUCH
C823,FUCH
C824,FUCH
C825,FUCH
C856,FUCH
C870,FUCH
C871,FUCH
C872,FUCH
C880,FUCH
C881,FUCH
C883,FUCH
C893,FUCH
C901,FUCH
C902,FUCH
C903,FUCH
C904,FUCH
C905,FUCH
C906,FUCH
C907,FUCH
C908,FUCH
C909,FUCH
C910,FUCH
C911,FUCH
C912,FUCH
C913,FUCH
C914,FUCH
C915,FUCH
C923,FUCH
C924,FUCH
C925,FUCH
C926,FUCH
C927,FUCH
C928,FUCH
C929,FUCH
C930,FUCH
C931,FUCH
C932,FUCH
C933,FUCH
C934,FUCH
C935,FUCH
C943,FUCH
C949,FUCH
C951,FUCH
C952,FUCH
C953,FUCH
C954,FUCH
C955,FUCH
C956,FUCH
C957,FUCH
C961,FUCH
C962,FUCH
C964,FUCH
C965,FUCH
C975,FUCH
C976,FUCH
C977,FUCH
C978,FUCH
C979,FUCH
C980,FUCH
C981,FUCH
C983,FUCH
C984,FUCH
C985,FUCH
C986,FUCH
D026,FUCH
D027,FUCH
D028,FUCH
D029,FUCH
D030,FUCH
D031,FUCH
D032,FUCH
D033,FUCH
D034,FUCH
D035,FUCH
D036,FUCH
D037,FUCH
D061,FUCH
D062,FUCH
D063,FUCH
D064,FUCH
D116,FUCH
D117,FUCH
D118,FUCH
D119,FUCH
D120,FUCH
D252,FUCH
D253,FUCH
D254,FUCH
D255,FUCH
D284,FUCH
D317,FUCH
D327,FUCH
D328,FUCH
D329,FUCH
D330,FUCH
D331,FUCH
D332,FUCH
D342,FUCH
D343,FUCH
D344,FUCH
D345,FUCH
D346,FUCH
D347,FUCH
D348,FUCH
D349,FUCH
D350,FUCH
D480,FUCH
D481,FUCH
D547,FUCH
D548,FUCH
D549,FUCH
D586,FUCH
D587,FUCH
D588,FUCH
D589,FUCH
D590,FUCH
D591,FUCH
D643,FUCH
D644,FUCH
D645,FUCH
D647,FUCH
D648,FUCH
D649,FUCH
D700,FUCH
D701,FUCH
D702,FUCH
D703,FUCH
D704,FUCH
D705,FUCH
D706,FUCH
D707,FUCH
D708,FUCH
D709,FUCH
D799,FUCH
D826,FUCH
D827,FUCH
D828,FUCH
D842,FUCH
D844,FUCH
D847,FUCH
D848,FUCH
D850,FUCH
D851,FUCH
D852,FUCH
D853,FUCH
D890,FUCH
D893,FUCH
D895,FUCH
D896,FUCH
D898,FUCH
D915,FUCH
D952,FUCH
D953,FUCH
D954,FUCH
D988,FUCH
H006,FUCH
H007,FUCH
H016,FUCH
H017,FUCH
H018,FUCH
H020,FUCH
H023,FUCH
H024,FUCH
H025,FUCH
H028,FUCH
H030,FUCH
H031,FUCH
H032,FUCH
H033,FUCH
H034,FUCH
H035,FUCH
H043,FUCH
H050,FUCH
H051,FUCH
H052,FUCH
H053,FUCH
H054,FUCH
H055,FUCH
H056,FUCH
H057,FUCH
H058,FUCH
H059,FUCH
H060,FUCH
H061,FUCH
H062,FUCH
H063,FUCH
H091,FUCH
H093,FUCH
H095,FUCH
H096,FUCH
H097,FUCH
H098,FUCH
H105,FUCH
H106,FUCH
H107,FUCH
H140,FUCH
H141,FUCH
H156,FUCH
H157,FUCH
H158,FUCH
J418,FUCH
J480,FUCH
J482,FUCH
J483,FUCH
J501,FUCH
J508,FUCH
J510,FUCH
J511,FUCH
J512,FUCH
J513,FUCH
J514,FUCH
J530,FUCH
J531,FUCH
J532,FUCH
J533,FUCH
J539,FUCH
J540,FUCH
J541,FUCH
J580,FUCH
J591,FUCH
D257,LAHY
D635,LAHY
C403,LASA
C431,LASA
C827,LASA
D017,LASA
D048,LASA
D049,LASA
D071,LASA
D105,LASA
D106,LASA
D234,LASA
D235,LASA
D236,LASA
D314,LASA
D339,LASA
D340,LASA
D341,LASA
D491,LASA
D492,LASA
D519,LASA
D520,LASA
D521,LASA
D522,LASA
D523,LASA
D535,LASA
D580,LASA
D632,LASA
D633,LASA
D654,LASA
D655,LASA
D693,LASA
D712,LASA
D713,LASA
D797,LASA
D798,LASA
D854,LASA
D883,LASA
D901,LASA
D903,LASA
D943,LASA
D945,LASA
D946,LASA
D966,LASA
H048,LASA
H049,LASA
H139,LASA
J323,LASA
J515,LASA
J516,LASA
J517,LASA
J518,LASA
C172,LATE
C173,LATE
C235,LATE
C251,LATE
C260,LATE
C261,LATE
C262,LATE
C270,LATE
C271,LATE
C288,LATE
C289,LATE
C303,LATE
C304,LATE
C316,LATE
C317,LATE
C328,LATE
C330,LATE
C345,LATE
C358,LATE
C365,LATE
C366,LATE
C367,LATE
C385,LATE
C386,LATE
C387,LATE
C397,LATE
C398,LATE
C405,LATE
C406,LATE
C407,LATE
C414,LATE
C415,LATE
C422,LATE
C423,LATE
C424,LATE
C432,LATE
C433,LATE
C434,LATE
C435,LATE
C436,LATE
C891,LATE
C892,LATE
C939,LATE
C958,LATE
C959,LATE
C960,LATE
C966,LATE
C967,LATE
C989,LATE
D015,LATE
D016,LATE
D050,LATE
D051,LATE
D052,LATE
D072,LATE
D073,LATE
D102,LATE
D103,LATE
D104,LATE
D261,LATE
D262,LATE
D263,LATE
D264,LATE
D278,LATE
D279,LATE
D285,LATE
D286,LATE
D287,LATE
D288,LATE
D289,LATE
D290,LATE
D291,LATE
D292,LATE
D338,LATE
D442,LATE
D443,LATE
D444,LATE
D445,LATE
D556,LATE
D557,LATE
D636,LATE
D637,LATE
D638,LATE
D639,LATE
D640,LATE
D656,LATE
D657,LATE
D941,LATE
D942,LATE
D958,LATE
H042,LATE
H045,LATE
H075,LATE
H078,LATE
H080,LATE
H119,LATE
H124,LATE
J335,LATE
J336,LATE
J464,LATE
J465,LATE
C210,POFR
C231,POFR
C232,POFR
C233,POFR
C234,POFR
C283,POFR
C284,POFR
C309,POFR
C310,POFR
C329,POFR
C334,POFR
C335,POFR
C336,POFR
C337,POFR
C338,POFR
D014,POFR
D101,POFR
D440,POFR
D441,POFR
D504,POFR
C167,MENE
C168,MENE
C176,MENE
C179,MENE
C211,MENE
C212,MENE
C213,MENE
C247,MENE
C248,MENE
C275,MENE
C285,MENE
C311,MENE
C370,MENE
C826,MENE
C890,MENE
C921,MENE
C922,MENE
D159,MENE
D160,MENE
D167,MENE
D203,MENE
D204,MENE
D215,MENE
D216,MENE
D239,MENE
D377,MENE
D378,MENE
D379,MENE
D425,MENE
D508,MENE
D615,MENE
D616,MENE
D634,MENE
D666,MENE
D667,MENE
D672,MENE
D673,MENE
D741,MENE
D742,MENE
D743,MENE
D817,MENE
D818,MENE
D905,MENE
D950,MENE
H027,MENE
H101,MENE
J486,MENE
J519,MENE
C177,OBRE
C249,OBRE
C258,OBRE
C259,OBRE
C287,OBRE
C343,OBRE
C396,OBRE
C411,OBRE
C412,OBRE
C413,OBRE
C419,OBRE
C420,OBRE
C421,OBRE
C860,OBRE
C885,OBRE
C889,OBRE
C940,OBRE
C941,OBRE
C968,OBRE
C969,OBRE
D023,OBRE
D024,OBRE
D025,OBRE
D038,OBRE
